horizon,mse,rmse,mae,mape,mdape,smape,coverage
216 days,14.910520077131316,3.861414258679236,3.372618584834207,0.011594683318044266,0.010696788250198168,0.011557838893999675,1.0
217 days,15.507055792157438,3.9378999215517703,3.441193090950402,0.011843251038162124,0.010744030377708588,0.011802363271833916,1.0
218 days,15.998432972524885,3.999804116769331,3.479732356245507,0.011992676654170637,0.010696788250198168,0.011948276185305034,0.9908256880733946
219 days,16.19693585530358,4.024541695063374,3.469855331068636,0.011975475239637934,0.010696788250198168,0.01192962797902284,0.9908256880733946
220 days,16.317168290915507,4.039451483916537,3.4475333538268016,0.011915236095958577,0.010581012327717024,0.011868035812367422,0.9908256880733946
221 days,16.390226445439083,4.048484462788401,3.464192902603859,0.011978074105239076,0.010581012327717024,0.011931032776897535,0.9908256880733946
222 days,16.356976685091446,4.044375932710935,3.4754439399511825,0.012012703879717474,0.010581012327717024,0.011967351252291219,0.9908256880733946
223 days,16.184220737193435,4.022961687263929,3.4560778812122175,0.011941133588547866,0.01046438867149988,0.01189793228101866,0.9908256880733946
224 days,16.519153629302842,4.064376167298352,3.480251073233954,0.012025746439095843,0.010581012327717024,0.011981821251085096,0.9908256880733946
225 days,16.171856095152076,4.021424635020788,3.445270453684249,0.01189705644963467,0.010581012327717024,0.011855325628964243,0.9908256880733946
226 days,15.95673959748,3.9945887895351633,3.4262722006434423,0.011830630877576558,0.010581012327717024,0.011788990178631878,0.9908256880733946
227 days,15.916623847157743,3.9895643680930557,3.4184430696837156,0.011802984461224329,0.01046438867149988,0.011761515406102688,0.9908256880733946
228 days,15.868914498225433,3.983580612743444,3.4066604625874066,0.011761284019942283,0.010581012327717024,0.011720263107138165,0.9908256880733946
229 days,15.947526923558394,3.9934354788275215,3.416155878800084,0.011786963374283881,0.01046438867149988,0.011747793860461469,0.9908256880733946
230 days,15.994631670923352,3.9993289025689487,3.422200220221528,0.011798927943514411,0.01046438867149988,0.011761708922334512,0.9908256880733946
231 days,15.83964848322861,3.979905587225482,3.406198762893304,0.011736942590802272,0.010581012327717024,0.011701336165076676,0.9908256880733946
232 days,15.819572131061253,3.977382572881474,3.40359247624346,0.011728149791533278,0.01046438867149988,0.011693445890884656,0.9908256880733946
233 days,16.304001843393994,4.037821422920285,3.4379304332416756,0.011857276102854598,0.010581012327717024,0.011820333831600364,0.9908256880733946
234 days,17.053103997026373,4.129540409903549,3.4765016077845763,0.012006008610095256,0.010581012327717024,0.011964264238227738,0.981651376146789
235 days,17.89444871431168,4.230183059196337,3.5363948860131638,0.01222787977463477,0.010677027299016593,0.01218046440483668,0.981651376146789
236 days,18.445102366854996,4.294776171915714,3.574155694452952,0.012369808075008535,0.010815921016610485,0.01231861055554,0.981651376146789
237 days,18.667868326154583,4.320632861763955,3.5894548725089552,0.012431606832693193,0.010883092499064042,0.012378848847661736,0.981651376146789
238 days,19.352061299711462,4.399097782467612,3.633245718195165,0.012599088592768122,0.010815921016610485,0.01254180094434335,0.981651376146789
239 days,19.339626783901494,4.39768425241075,3.6117109013750683,0.01253553775959995,0.010815921016610485,0.012476652161377706,0.981651376146789
240 days,19.15536115855443,4.376683808382144,3.5791275535734153,0.012430619686036207,0.010815921016610485,0.012370352711154642,0.981651376146789
241 days,19.36145450484535,4.400165281537201,3.5904383249531726,0.01247985074975431,0.010677027299016593,0.01241656127770681,0.981651376146789
242 days,19.281880713432354,4.391113835171249,3.5803582790607758,0.012447638381226128,0.010677027299016593,0.01238402824821285,0.981651376146789
243 days,19.46797507131015,4.4122528340191645,3.6079522168146263,0.012540634423900517,0.010815921016610485,0.012478005905007035,0.981651376146789
244 days,20.31088874450525,4.506760338037208,3.7027483549427775,0.012866117483772605,0.010883092499064042,0.012804316045905421,0.981651376146789
245 days,20.963563558783175,4.578598427333759,3.78247513362882,0.013142577766919062,0.011253599011350274,0.013080537178618075,0.981651376146789
246 days,21.209874205835273,4.6054179186948145,3.8116375201261596,0.013246870897157443,0.011001240817144277,0.013184152477605966,0.981651376146789
247 days,21.015755593288876,4.584294448798951,3.774664816931969,0.013128458311858611,0.010917633382892615,0.013063647023381763,0.981651376146789
248 days,20.315206564380475,4.507239350686901,3.6761536439874045,0.012794735798107295,0.010883092499064042,0.012728734399976406,0.981651376146789
249 days,19.81632155295279,4.45155271258836,3.618689109309858,0.012595667675188526,0.010815921016610485,0.012530547187705706,0.981651376146789
250 days,19.671759705996138,4.43528575246242,3.588459490184433,0.012495142221919758,0.010815921016610485,0.012429929457817467,0.981651376146789
251 days,19.467708803765735,4.412222660266108,3.5758733783497396,0.01245006046166333,0.010815921016610485,0.012386356282939595,0.981651376146789
