index,ds,city_name,y,temp_min,temp_max,rain_1h,clouds_all
4334,2017-05-15,Valencia,294.275,294.275,294.275,0.0,8.333333333333334
4339,2017-05-16,Valencia,294.9833333333333,294.9833333333333,294.9833333333333,0.0,0.0
4344,2017-05-17,Valencia,294.4,294.4,294.4,0.0,0.0
4349,2017-05-18,Valencia,292.1083333333333,292.1083333333333,292.1083333333333,0.0,20.0
4354,2017-05-19,Valencia,291.3583333333333,291.3583333333333,291.3583333333333,0.0,25.416666666666668
4359,2017-05-20,Valencia,292.06666666666666,292.06666666666666,292.06666666666666,0.0,18.333333333333332
4364,2017-05-21,Valencia,292.2333333333333,292.2333333333333,292.2333333333333,0.0,15.0
4369,2017-05-22,Valencia,294.275,294.275,294.275,0.0,0.8333333333333334
4374,2017-05-23,Valencia,294.19166666666666,294.19166666666666,294.19166666666666,0.0,10.833333333333334
4379,2017-05-24,Valencia,295.025,295.025,295.025,0.0,2.5
4384,2017-05-25,Valencia,296.025,296.025,296.025,0.0,4.166666666666667
4389,2017-05-26,Valencia,296.31666666666666,296.31666666666666,296.31666666666666,0.0,0.0
4394,2017-05-27,Valencia,295.15,295.15,295.15,0.0,31.25
4399,2017-05-28,Valencia,296.15,296.15,296.15,0.0,22.083333333333332
4404,2017-05-29,Valencia,295.025,295.025,295.025,0.0,18.333333333333332
4409,2017-05-30,Valencia,293.56666666666666,293.56666666666666,293.56666666666666,0.0124999999999999,22.291666666666668
4414,2017-05-31,Valencia,294.81666666666666,294.81666666666666,294.81666666666666,0.0,23.958333333333332
4419,2017-06-01,Valencia,295.94166666666666,295.94166666666666,295.94166666666666,0.0,16.666666666666668
4424,2017-06-02,Valencia,296.4,296.4,296.4,0.0,16.666666666666668
4429,2017-06-03,Valencia,296.4,296.4,296.4,0.0,27.083333333333332
4434,2017-06-04,Valencia,292.9775862068965,292.9775862068965,292.9775862068965,0.196551724137931,44.48275862068966
4439,2017-06-05,Valencia,292.9,292.9,292.9,0.0,15.0
4444,2017-06-06,Valencia,296.4,296.4,296.4,0.0,5.833333333333333
4449,2017-06-07,Valencia,295.4,295.4,295.4,0.0,22.5
4454,2017-06-08,Valencia,296.2333333333333,296.2333333333333,296.2333333333333,0.0,25.416666666666668
4459,2017-06-09,Valencia,296.6083333333333,296.6083333333333,296.6083333333333,0.0,23.125
4464,2017-06-10,Valencia,297.06666666666666,297.06666666666666,297.06666666666666,0.0,7.5
4469,2017-06-11,Valencia,298.4,298.4,298.4,0.0,0.0
4474,2017-06-12,Valencia,298.56666666666666,298.56666666666666,298.56666666666666,0.0,0.8333333333333334
4479,2017-06-13,Valencia,298.9833333333333,298.9833333333333,298.9833333333333,0.0,0.0
4484,2017-06-14,Valencia,299.69166666666666,299.69166666666666,299.69166666666666,0.0,0.0
4489,2017-06-15,Valencia,300.275,300.275,300.275,0.0,10.833333333333334
4494,2017-06-16,Valencia,300.94166666666666,300.94166666666666,300.94166666666666,0.0,2.5
4499,2017-06-17,Valencia,300.65,300.65,300.65,0.0,6.666666666666667
4504,2017-06-18,Valencia,300.525,300.525,300.525,0.0,3.3333333333333335
4509,2017-06-19,Valencia,299.525,299.525,299.525,0.0,17.5
4514,2017-06-20,Valencia,300.4833333333333,300.4833333333333,300.4833333333333,0.0,14.166666666666666
4519,2017-06-21,Valencia,300.8164166666666,300.8164166666666,300.8164166666666,0.0124999999999999,14.5
4524,2017-06-22,Valencia,300.69166666666666,300.69166666666666,300.69166666666666,0.0,7.5
4529,2017-06-23,Valencia,301.0875,301.0875,301.0875,0.0,9.166666666666666
4534,2017-06-24,Valencia,300.2333333333333,300.2333333333333,300.2333333333333,0.0,6.666666666666667
4539,2017-06-25,Valencia,299.7333333333333,299.7333333333333,299.7333333333333,0.0,26.041666666666668
4544,2017-06-26,Valencia,300.03,300.03,300.03,0.024,24.4
4549,2017-06-27,Valencia,302.3583333333333,302.3583333333333,302.3583333333333,0.0,9.166666666666666
4554,2017-06-28,Valencia,302.19166666666666,302.19166666666666,302.19166666666666,0.0,14.166666666666666
4559,2017-06-29,Valencia,299.7333333333333,299.7333333333333,299.7333333333333,0.0,12.5
4564,2017-06-30,Valencia,297.06666666666666,297.06666666666666,297.06666666666666,0.0,20.0
4569,2017-07-01,Valencia,295.4833333333333,295.4833333333333,295.4833333333333,0.0124999999999999,26.666666666666668
4574,2017-07-02,Valencia,295.52731640625,295.52731640625,295.52731640625,0.0,5.833333333333333
4579,2017-07-03,Valencia,297.2333333333333,297.2333333333333,297.2333333333333,0.0,0.0
4584,2017-07-04,Valencia,297.65,297.65,297.65,0.0,2.5
4589,2017-07-05,Valencia,298.025,298.025,298.025,0.0,19.166666666666668
4594,2017-07-06,Valencia,300.025,300.025,300.025,0.0124999999999999,31.666666666666668
4599,2017-07-07,Valencia,298.66999999999996,298.66999999999996,298.66999999999996,0.048,49.0
4604,2017-07-08,Valencia,302.2333333333333,302.2333333333333,302.2333333333333,0.0,29.791666666666668
4609,2017-07-09,Valencia,300.775,300.775,300.775,0.0,10.0
4614,2017-07-10,Valencia,300.00416666666666,300.00416666666666,300.00416666666666,0.0,7.5
4619,2017-07-11,Valencia,300.15,300.15,300.15,0.0,10.0
4624,2017-07-12,Valencia,300.56666666666666,300.56666666666666,300.56666666666666,0.0,0.8333333333333334
